Project_ID,Project_Type,Building_Area_m2,Green_Certification_Level,Policy_Interventions,Lifecycle_Phase,Embodied_Emissions_tCO2e,Operational_Emissions_tCO2e,Supply_Chain_Emission_Share_%,ReadyMix_Concrete_Emission_tCO2e,Electric_Power_Emission_tCO2e,Lighting_Fixture_Emission_tCO2e,Material_Reuse_%,Renewable_Energy_%,Waste_Minimization_%,Urban_Sustainability_Score,Total_Lifecycle_Emissions_tCO2e,Emission_Reduction_%,Emission_Reduction_Class
P0023,Mid-rise,1226,Basic,1,Material Production,742.99,1520.05,55.8,638.41,163.32,121.73,35.8,65.7,4.9,71.1,2263.04,17.2,Medium
P0024,Mid-rise,19620,Gold,3,Construction,891.23,2451.76,43.2,869.34,102.62,196.28,40.3,60.8,18.7,90.3,3342.99,38.7,High
P0025,Low-rise,14332,Basic,3,Construction,1737.92,1894.15,40.5,443.42,590.91,208.67,13.0,60.8,0.1,35.9,3632.07,17.1,Medium
P0026,Low-rise,11862,Silver,2,End-of-life,1548.2,561.68,60.0,766.03,438.05,78.99,15.0,4.5,16.1,39.2,2109.88,28.5,Medium
P0027,Low-rise,18797,Silver,0,Construction,690.17,1779.66,34.4,664.93,187.24,254.34,33.1,59.2,4.2,31.2,2469.83,22.9,Medium
P0028,High-rise,10606,Silver,3,Operation,411.5,2197.39,32.9,438.08,351.34,101.18,34.8,42.5,1.0,75.3,2608.89,27.2,Medium
P0029,High-rise,8157,Platinum,1,Material Production,653.6,2440.3,48.6,226.95,274.3,72.27,35.2,26.6,33.0,50.5,3093.9,45.7,High
P0030,High-rise,19350,Platinum,3,Material Production,1857.36,1998.62,66.0,738.39,1380.83,133.79,34.1,4.0,36.6,24.7,3855.98,45.5,High
P0031,Mid-rise,15051,Silver,2,Material Production,1246.86,712.18,57.7,869.11,296.37,224.56,19.6,47.4,8.3,85.6,1959.04,29.1,Medium
P0032,High-rise,8406,Gold,1,Construction,1160.26,2217.47,51.1,717.27,852.71,290.33,19.7,23.0,21.6,61.8,3377.73,33.0,Medium
P0033,Mid-rise,7787,Gold,0,Material Production,1273.51,2128.82,58.3,116.09,930.35,246.6,12.7,32.7,11.1,44.8,3402.33,28.4,Medium
P0034,Mid-rise,1392,Silver,0,Material Production,858.85,365.95,48.3,294.61,860.89,283.3,7.8,47.7,19.7,45.8,1224.8,17.8,Medium
P0035,High-rise,10722,Platinum,4,Material Production,1652.79,1411.72,76.8,162.53,238.68,59.37,34.6,63.8,17.5,41.8,3064.51,53.2,High
P0036,Mid-rise,5175,Basic,4,End-of-life,1141.92,1198.97,32.7,613.35,546.32,39.93,4.7,57.8,10.8,54.2,2340.89,23.0,Medium
P0037,High-rise,2433,None,3,End-of-life,410.15,2107.41,63.7,780.83,171.78,176.16,46.9,31.5,28.0,45.3,2517.56,13.9,Low
P0038,High-rise,18264,Platinum,0,Construction,432.32,883.57,74.6,199.52,653.94,101.28,41.3,27.1,5.1,61.1,1315.89,40.8,High
P0039,Low-rise,12373,Silver,2,Material Production,1166.35,1895.35,70.2,854.5,364.04,251.86,42.9,16.8,2.1,78.0,3061.7,26.5,Medium
P0040,High-rise,18174,Gold,3,Construction,1885.83,2765.66,39.2,599.96,886.29,208.16,45.3,26.1,30.7,70.6,4651.49,36.5,High
P0041,Low-rise,18524,Platinum,3,Material Production,755.03,2454.07,44.8,720.97,1069.93,291.8,20.4,7.8,26.6,42.1,3209.1,47.5,High
P0042,High-rise,13739,None,0,Material Production,1765.17,2787.94,65.9,974.26,844.97,91.34,42.3,68.0,19.9,59.7,4553.11,4.1,Low
P0043,High-rise,11374,Platinum,0,Material Production,1575.37,2941.97,34.2,175.31,707.93,156.02,7.9,40.2,18.7,83.0,4517.34,42.1,High
P0044,Low-rise,18102,Silver,3,Construction,646.06,328.81,70.6,911.1,642.27,160.35,1.1,8.9,19.9,25.1,974.87,30.2,Medium
P0045,Low-rise,5516,Silver,1,Construction,265.41,1981.4,65.9,213.49,1278.37,86.97,39.2,24.7,17.5,25.9,2246.81,25.2,Medium
P0046,High-rise,14274,Silver,1,Material Production,383.33,1414.67,66.5,453.66,407.12,185.23,3.7,38.3,15.7,61.7,1798.0,26.8,Medium
P0047,Mid-rise,10252,Platinum,0,Operation,1511.29,2621.61,35.0,866.29,1127.91,144.12,49.4,37.3,20.0,67.9,4132.9,37.8,High
P0048,Low-rise,17838,None,2,Construction,559.41,979.9,65.9,915.63,1160.48,145.08,33.7,2.5,21.1,35.9,1539.31,13.4,Low
P0049,Mid-rise,16085,Silver,4,End-of-life,868.29,2948.78,64.0,555.73,686.88,121.57,37.7,66.6,27.7,75.9,3817.07,31.3,Medium
P0050,Mid-rise,7791,Gold,4,Construction,1103.06,1957.01,71.5,634.69,516.22,24.74,12.3,19.3,28.4,68.5,3060.07,44.8,High
P0051,Mid-rise,1474,Gold,2,Material Production,1505.84,2442.55,32.1,737.33,758.76,166.19,33.7,1.1,15.1,89.2,3948.39,35.9,High
P0052,Low-rise,4633,Gold,2,Operation,403.82,531.12,31.2,849.48,230.5,113.87,2.2,5.4,16.5,32.7,934.94,39.1,High
P0053,Mid-rise,15163,None,0,Material Production,931.46,795.34,48.7,209.36,164.3,20.37,41.9,40.6,14.9,76.4,1726.8,2.4,Low
P0054,Low-rise,4472,Basic,2,End-of-life,1073.13,2347.69,37.4,829.06,256.24,106.22,8.5,9.6,21.5,26.3,3420.82,16.7,Medium
P0055,Mid-rise,5795,Basic,1,Construction,1173.49,359.36,57.9,533.15,362.0,98.02,34.9,2.9,18.1,62.4,1532.85,13.0,Low
P0056,High-rise,14413,Gold,3,Construction,1673.05,2505.57,75.9,505.56,805.85,130.17,11.2,26.6,35.6,61.4,4178.62,40.7,High
P0057,High-rise,9605,Basic,1,Material Production,509.02,337.66,49.6,481.51,1288.79,56.92,3.4,43.6,27.9,49.1,846.68,13.2,Low
P0058,Low-rise,8728,Basic,1,Material Production,1654.1,2074.22,72.2,558.29,429.9,162.15,24.1,7.8,35.9,83.3,3728.32,17.4,Medium
P0059,High-rise,10403,Platinum,0,End-of-life,1447.18,1285.75,30.0,950.55,1409.23,213.88,8.5,21.9,28.4,20.3,2732.93,39.9,High
P0060,High-rise,3520,None,1,Operation,1200.57,1951.04,38.4,593.38,1436.87,196.45,36.5,29.2,38.8,59.0,3151.61,11.5,Low
P0061,Mid-rise,9487,Platinum,0,End-of-life,1459.15,2179.28,31.5,957.86,1442.47,245.05,11.9,11.2,25.4,36.3,3638.43,38.3,High
P0062,Low-rise,13380,Gold,0,Operation,941.63,1224.68,46.4,262.26,1272.59,146.56,17.1,35.4,38.5,75.8,2166.31,27.9,Medium
P0063,Mid-rise,5733,Gold,4,Construction,449.12,591.5,75.4,751.72,609.36,165.35,28.4,6.0,6.3,23.2,1040.62,44.0,High
P0064,Mid-rise,10016,Basic,2,Operation,1398.38,488.04,34.8,831.02,201.76,246.91,14.2,3.3,2.1,82.4,1886.42,14.2,Low
P0065,Mid-rise,15059,None,2,Operation,1144.41,1890.13,60.3,711.22,896.35,139.76,18.9,36.4,23.2,82.9,3034.54,12.1,Low
P0066,Mid-rise,17201,Gold,4,Construction,1350.87,1705.77,52.6,646.23,882.15,216.45,40.8,17.4,39.3,82.5,3056.64,43.8,High
P0067,Mid-rise,2896,Gold,4,Construction,808.4,2303.94,76.9,608.33,1289.97,141.69,9.0,6.7,16.7,31.4,3112.34,44.8,High
P0068,Mid-rise,19046,Gold,2,Construction,1832.36,1676.29,36.1,874.84,1494.39,136.97,4.1,29.7,8.5,67.3,3508.65,37.9,High
P0069,Mid-rise,19629,None,4,End-of-life,1257.27,1440.6,40.6,839.48,811.42,232.86,16.4,64.1,20.9,21.1,2697.87,19.5,Medium
P0070,Low-rise,2091,Gold,1,Construction,353.72,1374.84,31.5,210.06,583.29,68.95,21.2,50.7,26.0,83.6,1728.56,33.1,Medium
P0071,High-rise,11803,Gold,1,Material Production,1009.65,371.41,51.7,863.73,360.26,114.8,27.1,57.1,12.6,74.2,1381.06,35.6,High
P0072,Mid-rise,6683,Gold,2,Construction,1561.44,1206.0,43.9,472.66,106.72,82.77,18.6,61.0,28.6,59.8,2767.44,34.8,Medium
P0073,Mid-rise,1812,Gold,3,Construction,1629.44,2935.25,73.5,328.33,812.76,120.55,39.5,68.1,39.0,74.8,4564.69,35.8,High
P0074,Mid-rise,7814,Gold,3,Construction,1090.27,2658.6,60.2,882.79,877.73,84.5,2.0,53.4,35.9,27.1,3748.87,38.4,High
P0075,Mid-rise,19267,Silver,1,Operation,1810.55,1189.32,60.7,488.82,1254.91,182.23,21.6,42.6,11.7,59.6,2999.87,24.2,Medium
P0076,Mid-rise,2639,None,0,End-of-life,681.8,1887.05,56.6,827.53,806.41,243.49,19.1,25.6,13.1,41.8,2568.85,7.0,Low
P0077,Mid-rise,15188,Silver,3,Construction,939.08,2587.7,34.6,337.06,1383.06,240.25,32.4,12.7,14.9,92.9,3526.78,30.0,Medium
P0078,High-rise,18588,None,0,End-of-life,1817.47,1491.44,52.3,103.54,979.32,122.06,48.3,48.1,15.8,84.3,3308.91,7.0,Low
P0079,High-rise,7424,Silver,2,Material Production,1813.26,348.49,80.0,545.91,1276.47,296.85,25.5,69.6,4.0,75.0,2161.75,27.2,Medium
P0080,Mid-rise,862,Silver,3,Material Production,1434.28,501.18,71.8,190.21,307.62,186.28,49.3,32.7,30.5,90.0,1935.46,29.2,Medium
P0081,High-rise,19488,None,3,Construction,1746.16,1678.06,74.7,778.94,1297.47,131.83,15.1,50.7,14.6,46.0,3424.22,11.8,Low
P0082,Low-rise,13981,Basic,3,Material Production,359.79,2917.49,71.2,348.47,1045.2,253.95,1.5,34.7,35.2,87.6,3277.28,15.2,Medium
P0083,Mid-rise,4238,None,4,End-of-life,1756.99,2171.67,35.2,499.28,338.33,224.36,8.3,30.2,37.1,44.4,3928.66,16.6,Medium
P0084,Low-rise,2969,Gold,2,Operation,777.12,491.47,41.4,178.33,365.67,229.8,19.8,28.7,1.0,75.0,1268.59,36.5,High
P0085,Low-rise,16606,Platinum,3,Construction,521.0,811.27,30.2,357.99,1397.1,74.92,15.8,35.3,39.5,75.2,1332.27,45.9,High
P0086,Mid-rise,17440,None,3,Material Production,630.87,2382.57,45.2,803.34,145.1,151.13,4.9,25.7,28.4,21.4,3013.44,11.6,Low
P0087,High-rise,9517,Platinum,0,End-of-life,952.34,2571.89,35.4,236.43,747.55,261.31,21.6,52.4,20.8,47.1,3524.23,38.6,High
P0088,Low-rise,3308,Silver,0,End-of-life,652.15,1967.78,53.6,682.44,538.87,161.13,16.9,61.2,15.6,21.5,2619.93,18.9,Medium
P0089,Mid-rise,16870,Basic,1,Material Production,777.02,2039.94,63.9,925.68,1031.11,211.37,6.1,61.8,20.7,94.8,2816.96,15.4,Medium
P0090,Low-rise,15370,None,2,End-of-life,442.96,376.51,73.7,711.85,1275.48,184.62,14.8,15.9,13.0,29.2,819.47,10.3,Low
P0091,Low-rise,13213,Silver,3,End-of-life,733.12,2537.03,67.5,829.92,604.53,255.86,44.3,62.7,24.9,60.7,3270.15,29.8,Medium
P0092,Low-rise,8061,Gold,4,Construction,1230.11,2428.34,76.9,198.07,697.66,99.68,15.1,23.9,3.7,79.3,3658.45,42.2,High
P0093,Low-rise,3219,Gold,0,End-of-life,995.34,999.39,32.7,325.66,1474.68,181.13,35.7,21.7,24.8,35.1,1994.73,30.4,Medium
P0094,High-rise,12200,None,0,Material Production,824.09,2213.43,30.6,905.08,1197.48,54.51,30.6,50.9,11.0,56.4,3037.52,4.9,Low
P0095,Low-rise,4241,None,4,Construction,1543.61,880.11,63.1,743.6,1356.09,213.26,21.4,21.3,0.7,65.6,2423.72,19.3,Medium
P0096,Low-rise,10266,Silver,0,Material Production,1808.32,408.89,44.5,675.6,714.27,224.95,12.0,3.7,22.1,32.0,2217.21,20.8,Medium
P0097,Low-rise,4498,Basic,2,Operation,1562.22,843.07,42.7,697.39,427.71,31.99,18.5,26.2,23.1,78.4,2405.29,19.7,Medium
P0098,High-rise,19287,Basic,2,Material Production,797.6,782.3,46.5,472.78,676.61,209.22,29.6,50.5,17.1,42.5,1579.9,17.3,Medium
P0099,Low-rise,16577,Basic,2,Material Production,1540.0,1211.92,43.5,140.1,1102.53,136.11,17.5,22.9,2.9,35.8,2751.92,15.0,Medium
P0100,Low-rise,794,Gold,0,Construction,473.56,1429.81,55.6,806.0,253.2,54.75,10.7,44.1,35.7,61.9,1903.37,28.4,Medium
P0101,High-rise,10677,Platinum,0,End-of-life,434.57,1673.06,52.0,710.84,478.66,137.57,5.8,46.2,24.5,50.8,2107.63,38.0,High
P0102,High-rise,10382,Silver,0,Material Production,822.13,1587.24,55.6,525.52,165.29,74.39,44.0,51.4,4.6,89.0,2409.37,22.6,Medium
P0103,High-rise,1636,Platinum,2,Construction,1653.86,1030.82,63.6,909.78,705.29,136.36,22.0,62.8,20.4,86.0,2684.68,48.3,High
P0104,Low-rise,2564,Basic,2,Operation,643.43,378.76,49.4,402.54,1258.42,127.61,31.3,30.3,19.9,56.3,1022.19,16.4,Medium
P0105,High-rise,7509,Silver,1,Construction,313.86,1933.77,42.6,364.89,134.53,226.75,24.5,11.7,2.4,46.9,2247.63,28.0,Medium
P0106,High-rise,13487,Basic,3,Construction,437.08,1368.51,38.3,885.52,1045.45,236.78,43.6,22.3,24.3,44.4,1805.59,17.6,Medium
P0107,Low-rise,5043,Silver,4,End-of-life,1745.74,1106.41,47.5,817.29,1405.49,189.97,27.3,30.3,32.3,40.1,2852.15,34.1,Medium
P0108,High-rise,1507,Platinum,0,Material Production,1340.81,2640.74,67.1,563.48,431.7,26.35,24.0,50.0,30.0,60.8,3981.55,40.3,High
P0109,Low-rise,5945,Silver,2,Operation,655.76,2316.21,67.8,217.66,1071.09,280.69,46.2,0.9,8.1,80.4,2971.97,26.3,Medium
P0110,Mid-rise,11206,Basic,3,Construction,1199.53,2615.97,63.3,293.56,1465.14,212.15,36.0,22.1,34.5,43.3,3815.5,19.1,Medium
P0111,High-rise,15249,Silver,1,Material Production,1149.64,1636.45,41.7,690.61,1447.19,29.57,5.6,54.6,13.7,34.3,2786.09,23.3,Medium
P0112,Mid-rise,12218,None,1,Material Production,1379.78,653.51,59.4,446.54,428.9,249.27,8.9,47.0,37.9,55.7,2033.29,8.2,Low
P0113,Low-rise,9939,Platinum,3,Construction,619.74,2179.8,58.5,852.83,240.46,76.07,39.4,51.2,2.9,25.2,2799.54,45.8,High
P0114,High-rise,13781,Silver,4,Material Production,1755.93,856.4,54.2,954.96,307.6,182.18,41.8,56.8,19.4,72.6,2612.33,34.8,Medium
P0115,Low-rise,1935,Silver,4,Construction,756.86,1491.32,57.5,825.07,1082.85,150.66,27.3,54.8,23.9,58.9,2248.18,32.6,Medium
P0116,Mid-rise,1071,Silver,2,Construction,1449.44,475.5,54.6,439.79,1116.06,137.55,27.7,47.8,9.9,57.2,1924.94,28.8,Medium
P0117,Low-rise,2882,Silver,3,Construction,229.02,2528.33,58.3,809.82,1043.93,269.12,31.6,30.8,30.9,42.5,2757.35,27.2,Medium
P0118,High-rise,5584,None,1,Operation,870.78,640.04,65.8,416.3,570.51,142.46,22.0,68.9,25.1,87.9,1510.82,12.8,Low
P0119,High-rise,17161,Gold,3,Construction,833.08,2738.36,35.5,250.39,337.69,41.1,34.0,39.8,0.7,26.8,3571.44,35.0,High
P0120,Mid-rise,14007,Basic,2,End-of-life,1178.27,2633.42,67.5,130.05,913.07,285.06,5.4,14.2,24.3,85.2,3811.69,17.6,Medium
P0121,Low-rise,7559,Gold,0,Material Production,330.93,1554.37,36.8,447.15,777.15,277.75,48.1,20.5,19.7,48.3,1885.3,32.5,Medium
P0122,High-rise,18771,Gold,3,Operation,1622.24,2309.79,33.3,913.2,1120.37,211.64,37.5,48.5,7.8,86.0,3932.03,37.8,High
P0123,Mid-rise,13271,Gold,2,Material Production,592.01,1972.5,78.8,315.09,717.9,151.01,31.6,64.7,39.8,74.7,2564.51,34.8,Medium
P0124,High-rise,18149,Silver,1,Operation,1418.67,2468.3,77.8,285.86,574.1,46.0,15.8,12.5,35.9,27.8,3886.97,28.0,Medium
P0125,High-rise,7991,Silver,4,End-of-life,1645.78,1465.87,33.0,972.84,510.87,241.41,8.0,5.8,11.7,82.4,3111.65,30.1,Medium
P0126,Low-rise,15027,None,0,Operation,1211.38,2421.68,52.2,122.5,396.06,41.13,20.5,61.7,21.6,71.2,3633.06,6.7,Low
P0127,High-rise,17924,Gold,1,Operation,1533.59,1548.63,39.3,807.2,472.04,39.21,33.1,64.1,12.7,22.4,3082.22,33.2,Medium
P0128,Low-rise,15359,Basic,0,Operation,1391.35,2840.61,54.3,389.23,232.76,170.47,31.7,19.3,31.0,30.0,4231.96,11.4,Low
P0129,High-rise,8573,Silver,3,Material Production,839.95,1613.2,71.5,133.74,585.6,64.84,19.1,26.4,37.2,67.7,2453.15,29.0,Medium
P0130,Mid-rise,9577,Basic,3,Construction,1655.95,1549.07,77.5,926.02,151.2,22.16,30.7,46.2,14.4,69.7,3205.02,18.6,Medium
P0131,High-rise,19636,None,1,Material Production,730.46,2419.69,61.7,225.68,360.98,138.47,40.7,23.1,32.2,76.0,3150.15,7.0,Low
P0132,Low-rise,11883,Silver,3,Construction,1228.18,2518.26,47.7,596.6,1145.48,58.42,1.3,61.4,19.9,74.0,3746.44,25.8,Medium
P0133,Low-rise,16878,None,1,Material Production,1541.72,1797.12,60.2,346.65,555.66,64.94,22.5,7.5,15.9,69.5,3338.84,9.5,Low
P0134,Mid-rise,2853,Gold,3,End-of-life,882.12,785.45,45.6,158.67,1035.53,41.53,37.9,2.7,37.5,77.5,1667.57,35.7,High
P0135,High-rise,5299,Basic,2,End-of-life,744.98,1562.95,75.5,144.93,1103.64,77.43,27.3,14.6,20.4,63.1,2307.93,16.6,Medium
P0136,High-rise,17570,None,2,Operation,1026.82,2913.8,73.5,204.0,913.66,220.34,32.6,20.0,18.7,39.6,3940.62,12.6,Low
P0137,Mid-rise,12439,Silver,4,End-of-life,1672.33,2333.06,57.9,164.23,1442.18,246.5,25.8,7.9,26.9,88.4,4005.39,33.7,Medium
P0138,High-rise,2928,None,1,Operation,1873.86,2490.14,46.2,784.5,130.02,146.71,49.6,4.6,10.4,21.4,4364.0,10.3,Low
P0139,High-rise,11796,Basic,0,Construction,1181.15,388.63,44.7,537.01,1134.11,161.84,2.7,52.9,13.0,47.5,1569.78,9.3,Low
P0140,Low-rise,8313,Gold,2,End-of-life,1390.64,1563.22,31.7,408.6,1442.3,29.14,24.6,11.5,37.3,74.7,2953.86,35.0,High
P0141,High-rise,14914,None,4,Construction,1825.89,2045.88,70.8,476.53,1307.18,39.41,4.6,64.0,27.1,52.0,3871.77,15.3,Medium
P0142,High-rise,12301,Gold,1,Material Production,377.38,2541.09,52.5,936.05,335.05,92.12,8.0,25.8,33.1,21.9,2918.47,33.8,Medium
P0143,Mid-rise,12245,None,0,Construction,617.74,433.04,46.3,919.68,557.55,172.29,19.2,46.9,10.8,24.9,1050.78,6.4,Low
P0144,Mid-rise,13525,Basic,1,Material Production,1476.02,2601.58,53.6,744.11,341.43,227.07,7.8,15.8,21.8,68.6,4077.6,15.6,Medium
P0145,Low-rise,3856,Gold,2,Construction,1682.74,1780.68,70.9,896.21,941.83,189.4,48.2,16.8,38.9,92.4,3463.42,35.6,High
P0146,High-rise,14788,Basic,0,Construction,1742.65,832.75,36.2,387.68,1097.06,129.8,47.3,40.2,12.7,61.4,2575.4,7.6,Low
P0147,High-rise,7040,None,3,End-of-life,947.19,1156.59,72.9,443.0,543.9,53.13,16.8,39.2,6.4,58.0,2103.78,13.9,Low
P0148,High-rise,16922,Basic,4,Construction,360.81,1061.21,74.9,652.34,855.31,238.62,32.0,53.8,20.4,43.9,1422.02,22.5,Medium
P0149,Low-rise,3842,Basic,2,End-of-life,988.01,1733.32,77.3,661.26,1067.29,121.86,26.7,53.0,15.5,39.3,2721.33,15.3,Medium
P0150,Low-rise,9578,Gold,1,End-of-life,615.32,439.55,49.9,533.53,689.88,226.1,40.8,46.9,6.4,21.6,1054.87,35.1,High
P0151,Mid-rise,3344,Basic,2,Operation,724.15,728.05,40.9,460.59,1295.62,163.63,31.4,31.4,35.5,40.5,1452.2,18.4,Medium
P0152,Low-rise,10896,Gold,0,Operation,1590.08,2494.27,48.7,987.56,1180.17,226.83,0.0,62.3,39.6,53.7,4084.35,29.3,Medium
P0153,High-rise,17982,Platinum,4,Material Production,335.95,658.03,46.6,839.01,190.53,274.04,38.2,43.6,22.7,34.8,993.98,50.3,High
P0154,High-rise,18707,Silver,2,Construction,1689.65,930.17,38.8,491.48,969.58,277.89,37.3,69.3,31.0,26.6,2619.82,29.3,Medium
P0155,Low-rise,14498,Platinum,1,Material Production,969.8,1524.1,60.4,754.56,429.46,169.83,25.5,57.4,34.4,73.8,2493.9,43.0,High
P0156,High-rise,13761,Basic,3,Construction,1272.92,1696.23,53.8,342.61,880.53,163.22,45.1,3.1,28.0,87.1,2969.15,18.6,Medium
P0157,High-rise,3593,Platinum,2,Operation,361.37,2361.75,73.3,190.15,1439.64,94.39,45.4,22.4,1.8,90.3,2723.12,49.1,High
P0158,Low-rise,12222,None,3,Operation,807.25,1507.8,31.6,417.19,1330.69,282.02,26.2,40.0,6.3,66.3,2315.05,11.2,Low
P0159,Low-rise,19780,Gold,0,Construction,361.46,2432.63,62.2,462.68,666.32,148.22,30.4,50.5,2.8,24.0,2794.09,30.3,Medium
P0160,High-rise,12145,Silver,4,Construction,1930.78,1969.54,68.1,114.88,508.12,55.73,49.8,38.5,0.4,75.6,3900.32,30.5,Medium
P0161,High-rise,15583,Basic,4,Operation,1653.07,605.37,68.0,833.31,428.17,141.16,14.9,55.0,12.2,28.3,2258.44,20.0,Medium
P0162,High-rise,1488,Silver,3,Operation,1027.34,722.09,74.3,423.27,845.52,55.57,16.2,19.8,15.7,70.2,1749.43,27.0,Medium
P0163,Mid-rise,6946,Gold,4,Material Production,602.48,1479.99,66.5,622.38,259.95,160.71,9.1,12.9,9.6,78.5,2082.47,40.4,High
P0164,Mid-rise,16835,None,0,Operation,1880.22,1371.6,76.4,166.57,868.99,177.16,44.8,3.8,2.6,74.4,3251.82,5.7,Low
P0165,Mid-rise,16633,None,2,Construction,820.27,2307.57,46.6,257.5,101.87,114.57,37.2,40.1,21.2,91.4,3127.84,11.9,Low
P0166,Low-rise,2182,Gold,3,Material Production,489.77,1867.99,55.2,900.72,553.39,40.06,5.3,48.2,10.9,75.4,2357.76,40.5,High
P0167,Mid-rise,6126,Gold,2,Construction,1213.7,1347.96,30.7,647.82,407.91,284.18,49.1,22.8,31.8,72.0,2561.66,35.2,High
P0168,Low-rise,7924,Platinum,2,End-of-life,1898.79,761.05,30.3,955.26,1459.71,236.54,36.5,43.0,0.3,39.6,2659.84,46.4,High
P0169,Low-rise,13357,Gold,1,Material Production,206.89,912.46,42.0,998.88,1118.14,254.89,42.5,3.7,33.7,89.4,1119.35,36.4,High
P0170,Mid-rise,12655,Platinum,0,Construction,628.62,1853.85,35.0,434.67,589.51,122.72,2.4,7.0,38.2,33.5,2482.47,42.7,High
P0171,Mid-rise,17817,Gold,1,Operation,1889.21,1443.28,43.0,368.92,229.98,233.03,25.2,49.1,28.6,87.9,3332.49,37.2,High
P0172,Mid-rise,11925,Basic,0,End-of-life,507.95,1690.3,38.9,872.52,823.52,155.9,34.9,25.8,29.3,43.4,2198.25,10.0,Low
P0173,High-rise,2480,None,3,Construction,403.84,760.83,31.4,998.75,398.83,76.3,27.1,47.0,37.3,29.8,1164.67,12.1,Low
P0174,Mid-rise,16022,Gold,1,Material Production,1226.34,2089.85,75.5,666.68,851.0,54.84,33.3,58.2,8.4,82.0,3316.19,36.1,High
P0175,High-rise,19940,Silver,0,Construction,1751.32,2601.85,30.4,815.63,1269.51,116.61,40.9,59.7,39.8,20.2,4353.17,20.5,Medium
